targets, factors
Cdc15highL_Nucleus, Cdc15highL_Nucleus 
Bub2lowL_Nucleus, Bub2lowL_Nucleus 
Bub2highL_Nucleus, Bub2highL_Nucleus 
Rsa1L_Nucleus, Rsa1L_Nucleus 
Hit1L_Nucleus, Hit1L_Nucleus 
APCCdc20L_Nucleus, ! SACA_Nucleus 
Pds1L_Nucleus, ! APCCdc20A_Nucleus 
Esp1L_Nucleus, Esp1L_Nucleus 
Slk19L_Nucleus, Slk19L_Nucleus 
Zds1L_Nucleus, Zds1L_Nucleus 
Cdc5L_Nucleus, Cdc5L_Nucleus 
PP2ACdc55L_Nucleus, ! Zds1A_Nucleus | ! Slk19A_Nucleus 
CDKlowL_Nucleus, CDKlowL_Nucleus 
CDKhighL_Nucleus, ! APCCdc20A_Nucleus 
Fob1L_Nucleus, Fob1L_Nucleus 
Spo12L_Nucleus, Spo12L_Nucleus 
SACL_Nucleus, SACL_Nucleus 
Cdc14lowL_Nucleus, (! Net1A_Nucleolus & Cdc14lowL_Nucleolus) | (! Net1A_Nucleolus & Cdc14lowL_Nucleus) 
Cdc14highL_Nucleus, (! Net1A_Nucleolus & Cdc14lowL_Nucleus) 
Net1L_Nucleus, Net1L_Nucleus 
Spo12L_Nucleolus, Spo12L_Nucleolus 
Fob1L_Nucleolus, Fob1L_Nucleolus 
Hit1L_Nucleolus, Hit1L_Nucleolus 
Rsa1L_Nucleolus, Rsa1L_Nucleolus 
Net1L_Nucleolus, Net1L_Nucleolus 
Cdc14lowL_Nucleolus, ! Cdc14lowL_Nucleus 
Cdc14highL_Nucleolus, Cdc14lowL_Nucleolus 
Kin4L_mSPB, (PP2ARts1A_Cytoplasm & Spc72A_mSPB & Kin4L_Cytoplasm & ! Lte1A_Cytoplasm) | (PP2ARts1FLmSPB & Kin4L_Cytoplasm & ! Lte1A_Cytoplasm) | (Spc72FLmSPB & Kin4L_Cytoplasm & ! Lte1A_Cytoplasm) 
Cdc5L_mSPB, (APCCdc20A_Cytoplasm & Bub2lowL_mSPB & Bfa1lowL_mSPB) | (APCCdc20FLmSPB & Bub2lowL_mSPB & Bfa1lowL_mSPB) | (Bub2FLmSPB & Bub2lowL_mSPB & Bfa1lowL_mSPB) | (Bfa1FLmSPB & Bub2lowL_mSPB & Bfa1lowL_mSPB) 
Nud1L_mSPB, Nud1L_mSPB | Nud1L_mSPB 
Spc72L_mSPB, Spc72L_mSPB | Spc72L_mSPB 
CDKlowL_mSPB, (Nud1A_mSPB & CDKlowL_Cytoplasm & ! Mob1A_mSPB & ! Dbf2A_mSPB) | (Nud1FLmSPB & CDKlowL_Cytoplasm) 
Cdc14lowL_mSPB, (Bub2highL_mSPB & Bfa1highL_mSPB & Cdc14lowL_Cytoplasm) | (Bub2FLmSPB & Bub2highL_mSPB & Bfa1highL_mSPB & Cdc14lowL_Cytoplasm) | (Bfa1FLmSPB & Bub2highL_mSPB & Bfa1highL_mSPB & Cdc14lowL_Cytoplasm) 
Bub2highL_mSPB, (Bfa1highL_mSPB & Bub2highL_Cytoplasm & Bub2lowL_mSPB) | (Bfa1FLmSPB & Bfa1highL_mSPB & Bub2highL_Cytoplasm & Bub2lowL_mSPB) | (Bub2FLmSPB & Bub2highL_mSPB) | (Nud1FLmSPB & Bub2highL_mSPB) 
Bfa1highL_mSPB, (! Kin4A_mSPB & Nud1L_mSPB & Bfa1highL_Cytoplasm & Bfa1lowL_mSPB) | (! Bmh1A_Cytoplasm & Nud1L_mSPB & Bfa1highL_Cytoplasm & Bfa1lowL_mSPB) | (! Kin4A_mSPB & Bub2highL_mSPB & Bfa1highL_Cytoplasm & Bfa1lowL_mSPB) | (Nud1FLmSPB & Nud1L_mSPB & Bfa1highL_Cytoplasm & Bfa1lowL_mSPB & Bub2highL_mSPB) | (Bub2FLmSPB & Nud1L_mSPB & Bfa1highL_Cytoplasm & Bfa1lowL_mSPB & Bub2highL_mSPB) 
Tem1lowL_mSPB, Tem1highA_Cytoplasm | (Bub2FLmSPB & Bub2highL_mSPB & Bfa1highL_mSPB & Nud1L_mSPB & Tem1lowL_Cytoplasm) | (Bfa1FLmSPB & Bub2highL_mSPB & Bfa1highL_mSPB & Nud1L_mSPB & Tem1lowL_Cytoplasm) | (Nud1FLmSPB & Bub2highL_mSPB & Bfa1highL_mSPB & Nud1L_mSPB & Tem1lowL_Cytoplasm) | (Bub2highL_mSPB & Bfa1highL_mSPB & Nud1L_mSPB & Tem1lowL_Cytoplasm) 
Bub2lowL_mSPB, (Bub2lowL_Cytoplasm & Nud1L_mSPB) | (Nud1FLmSPB & Bub2lowL_Cytoplasm & Nud1L_mSPB) 
Bfa1lowL_mSPB, (Nud1FLmSPB & Bfa1lowL_Cytoplasm & Nud1L_mSPB) | (Bfa1lowL_Cytoplasm & Nud1L_mSPB & ! Kin4FLmSPB & ! Bmh1FLmSPB) 
Tem1highL_mSPB, (Tem1highA_Cytoplasm & Tem1lowL_mSPB) | (Bub2FLmSPB & Tem1highL_mSPB) | (Bfa1FLmSPB & Tem1highL_mSPB) | (Nud1FLmSPB & Tem1highL_mSPB) | (Tem1FLmSPB & Tem1highL_mSPB) 
Dbf2L_mSPB, (Mob1L_mSPB & Nud1A_mSPB & Dbf2L_Cytoplasm) | (Mob1FLmSPB & Mob1L_mSPB & Dbf2L_Cytoplasm) | (Nud1FLmSPB & Mob1L_mSPB & Dbf2L_Cytoplasm) 
Mob1L_mSPB, (Cdc15highL_mSPB & Nud1A_mSPB & Mob1L_Cytoplasm & Tem1highA_mSPB) | (Cdc15FLmSPB & Cdc15highL_mSPB & Mob1L_Cytoplasm) | (Nud1FLmSPB & Cdc15highL_mSPB & Mob1L_Cytoplasm) | (Tem1FLmSPB & Cdc15highL_mSPB & Mob1L_Cytoplasm) | (Cdc14FLmSPB & Cdc15highL_mSPB & Mob1L_Cytoplasm) | (Cdc15highL_mSPB & Nud1A_mSPB & Mob1L_Cytoplasm & ! CDKhighA_Cytoplasm & ! CDKFLmSPB) | (Cdc15highL_mSPB & Nud1A_mSPB & Mob1L_Cytoplasm & Cdc14highA_Cytoplasm & ! CDKFLmSPB) 
Cdc15lowL_mSPB, (Tem1highA_mSPB & Nud1L_mSPB & Cdc15lowL_Cytoplasm) | (Nud1FLmSPB & Nud1L_mSPB & Cdc15lowL_Cytoplasm & ! CDKlowL_mSPB) | (Tem1FLmSPB & Nud1L_mSPB & Cdc15lowL_Cytoplasm & ! CDKlowL_mSPB) | (Cdc14FLmSPB & Nud1L_mSPB & Cdc15lowL_Cytoplasm & ! CDKlowL_mSPB) | (Nud1L_mSPB & Cdc15lowL_Cytoplasm & ! CDKlowL_mSPB & ! CDKhighA_Cytoplasm & ! CDKFLmSPB) | (Nud1L_mSPB & Cdc15lowL_Cytoplasm & Cdc14lowA_mSPB & ! CDKFLmSPB) 
Cdc15highL_mSPB, (Nud1L_mSPB & Tem1highA_mSPB & Cdc15lowL_mSPB) | (Nud1FLmSPB & Nud1L_mSPB & Cdc15lowL_mSPB) | (Tem1FLmSPB & Nud1L_mSPB & Cdc15lowL_mSPB) | (Cdc5FLmSPB & Nud1L_mSPB & Cdc15lowL_mSPB) | (Nud1L_mSPB & Tem1lowA_mSPB & Cdc15lowL_mSPB & Cdc5A_mSPB & ! CDKFLmSPB) | (Nud1L_mSPB & Cdc15lowL_mSPB & ! CDKlowA_Cytoplasm & Cdc5A_mSPB & ! CDKFLmSPB) | (Nud1L_mSPB & Cdc15lowL_mSPB & ! CDKlowA_Cytoplasm & Tem1lowA_mSPB & ! CDKFLmSPB) | (Nud1FLmSPB & Cdc15highL_mSPB) | (Cdc15FLmSPB & Cdc15highL_mSPB) | (Tem1FLmSPB & Cdc15highL_mSPB) | (Cdc14FLmSPB & Cdc15highL_mSPB) 
Kin4L_dSPB, (PP2ARts1FLdSPB & Kin4L_Bud & Kin4L_Cytoplasm & ! Lte1A_Bud & ! Lte1A_Cytoplasm) | (Spc72FLdSPB & Kin4L_Bud & Kin4L_Cytoplasm & ! Lte1A_Bud & ! Lte1A_Cytoplasm) | (PP2ARts1A_Cytoplasm & Spc72A_dSPB & Kin4L_Cytoplasm & ! Lte1A_Cytoplasm & ! SpindleAlign & ! Lte1FLdSPB) 
Cdc5L_dSPB, (APCCdc20A_Bud & SpindleAlign & Bub2lowL_dSPB & Bfa1lowL_dSPB) | (APCCdc20A_Cytoplasm & Bub2lowL_dSPB & Bfa1lowL_dSPB & ! SpindleAlign) | (APCCdc20FLdSPB & Bub2lowL_dSPB & Bfa1lowL_dSPB) | (Bub2FLdSPB & Bub2lowL_dSPB & Bfa1lowL_dSPB) | (Bfa1FLdSPB & Bub2lowL_dSPB & Bfa1lowL_dSPB) 
Nud1L_dSPB, Nud1L_dSPB | Nud1L_dSPB 
Spc72L_dSPB, Spc72L_dSPB | Spc72L_dSPB 
CDKlowL_dSPB, (Nud1FLdSPB & CDKlowL_Bud & CDKlowL_Cytoplasm) | (Nud1A_dSPB & CDKlowL_Bud & SpindleAlign & ! Mob1A_dSPB & ! Dbf2A_dSPB & ! Mob1FLdSPB & ! Dbf2FLdSPB) | (Nud1A_dSPB & CDKlowL_Cytoplasm & ! Mob1A_dSPB & ! Dbf2A_dSPB & ! SpindleAlign & ! Mob1FLdSPB & ! Dbf2FLdSPB) 
Cdc14lowL_dSPB, (Bub2FLdSPB & Bub2highL_dSPB & Bfa1highL_dSPB & Cdc14lowL_Bud & Cdc14lowL_Cytoplasm) | (Bfa1FLdSPB & Bub2highL_dSPB & Bfa1highL_dSPB & Cdc14lowL_Bud & Cdc14lowL_Cytoplasm) | (Bub2highL_dSPB & Bfa1highL_dSPB & Cdc14lowL_Bud & SpindleAlign) | (Bub2highL_dSPB & Bfa1highL_dSPB & Cdc14lowL_Cytoplasm & ! SpindleAlign) 
Bub2highL_dSPB, (Bfa1highL_dSPB & Bub2highL_Bud & SpindleAlign & Bub2lowL_dSPB) | (Bfa1highL_dSPB & Bub2highL_Cytoplasm & Bub2lowL_dSPB & ! SpindleAlign) | (Bfa1FLdSPB & Bfa1highL_dSPB & Bub2highL_Bud & Bub2lowL_dSPB & Bub2highL_Cytoplasm) | (Bub2FLdSPB & Bub2highL_dSPB) | (Nud1FLdSPB & Bub2highL_dSPB) 
Bfa1highL_dSPB, (! Kin4A_dSPB & Nud1L_dSPB & Bfa1highL_Bud & SpindleAlign & Bfa1lowL_dSPB) | (! Bmh1A_Bud & SpindleAlign & Nud1L_dSPB & Bfa1highL_Bud & SpindleAlign & Bfa1lowL_dSPB) | (! Kin4A_dSPB & Bub2highL_dSPB & Bfa1highL_Bud & SpindleAlign & Bfa1lowL_dSPB) | (! Kin4A_dSPB & Nud1L_dSPB & Bfa1highL_Cytoplasm & Bfa1lowL_dSPB & ! SpindleAlign) | (! Bmh1A_Cytoplasm & Nud1L_dSPB & Bfa1highL_Cytoplasm & Bfa1lowL_dSPB & ! SpindleAlign) | (! Kin4A_dSPB & Bub2highL_dSPB & Bfa1highL_Cytoplasm & Bfa1lowL_dSPB & ! SpindleAlign) 
Tem1lowL_dSPB, (Tem1highA_Bud & SpindleAlign) | (Tem1highA_Cytoplasm & ! SpindleAlign) | (Bub2FLdSPB & Bub2highL_dSPB & Bfa1highL_dSPB & Nud1L_dSPB & Tem1lowL_Bud & Tem1lowL_Cytoplasm) | (Bfa1FLdSPB & Bub2highL_dSPB & Bfa1highL_dSPB & Nud1L_dSPB & Tem1lowL_Bud & Tem1lowL_Cytoplasm) | (Nud1FLdSPB & Bub2highL_dSPB & Bfa1highL_dSPB & Nud1L_dSPB & Tem1lowL_Bud & Tem1lowL_Cytoplasm) | (Bub2highL_dSPB & Bfa1highL_dSPB & Nud1L_dSPB & Tem1lowL_Bud & SpindleAlign) | (Bub2highL_dSPB & Bfa1highL_dSPB & Nud1L_dSPB & Tem1lowL_Cytoplasm & ! SpindleAlign) 
Bub2lowL_dSPB, (Bub2lowL_Bud & SpindleAlign & Nud1L_dSPB) | (Bub2lowL_Cytoplasm & Nud1L_dSPB & ! SpindleAlign) | (Nud1FLdSPB & Bub2lowL_Bud & Nud1L_dSPB & Bub2lowL_Cytoplasm) 
Bfa1lowL_dSPB, (Nud1FLdSPB & Bfa1lowL_Bud & Nud1L_dSPB & Bfa1lowL_Cytoplasm) | (Bfa1lowL_Bud & SpindleAlign & Nud1L_dSPB & ! Kin4FLdSPB & ! Bmh1FLdSPB) | (Bfa1lowL_Cytoplasm & Nud1L_dSPB & ! SpindleAlign & ! Kin4FLdSPB & ! Bmh1FLdSPB) 
Tem1highL_dSPB, (Tem1highA_Bud & SpindleAlign & Tem1lowL_dSPB) | (Tem1highA_Cytoplasm & Tem1lowL_dSPB & ! SpindleAlign) | (Bub2FLdSPB & Tem1highL_dSPB) | (Bfa1FLdSPB & Tem1highL_dSPB) | (Nud1FLdSPB & Tem1highL_dSPB) | (Tem1FLdSPB & Tem1highL_dSPB) 
Dbf2L_dSPB, (Mob1FLdSPB & Mob1L_dSPB & Dbf2L_Bud & Dbf2L_Cytoplasm) | (Nud1FLdSPB & Mob1L_dSPB & Dbf2L_Bud & Dbf2L_Cytoplasm) | (Mob1L_dSPB & Nud1A_dSPB & Dbf2L_Bud & SpindleAlign) | (Mob1L_dSPB & Nud1A_dSPB & Dbf2L_Cytoplasm & ! SpindleAlign) 
Mob1L_dSPB, (Cdc15highL_dSPB & Nud1A_dSPB & Mob1L_Bud & SpindleAlign & Tem1highA_dSPB) | (Cdc15highL_dSPB & Nud1A_dSPB & Mob1L_Cytoplasm & Tem1highA_dSPB & ! SpindleAlign) | (Cdc15FLdSPB & Cdc15highL_dSPB & Mob1L_Bud & Mob1L_Cytoplasm) | (Nud1FLdSPB & Cdc15highL_dSPB & Mob1L_Bud & Mob1L_Cytoplasm) | (Tem1FLdSPB & Cdc15highL_dSPB & Mob1L_Bud & Mob1L_Cytoplasm) | (Cdc14FLdSPB & Cdc15highL_dSPB & Mob1L_Bud & Mob1L_Cytoplasm) | (Cdc15highL_dSPB & Nud1A_dSPB & Mob1L_Bud & SpindleAlign & ! CDKhighA_Bud & SpindleAlign & ! CDKFLdSPB) | (Cdc15highL_dSPB & Nud1A_dSPB & Mob1L_Bud & SpindleAlign & Cdc14highA_Bud & SpindleAlign & ! CDKFLdSPB) | (Cdc15highL_dSPB & Nud1A_dSPB & Mob1L_Cytoplasm & ! CDKhighA_Cytoplasm & ! SpindleAlign & ! CDKFLdSPB) | (Cdc15highL_dSPB & Nud1A_dSPB & Mob1L_Cytoplasm & Cdc14highA_Cytoplasm & ! SpindleAlign & ! CDKFLdSPB) 
Cdc15lowL_dSPB, (Tem1highA_dSPB & Nud1L_dSPB & Cdc15lowL_Bud & SpindleAlign) | (Tem1highA_dSPB & Nud1L_dSPB & Cdc15lowL_Cytoplasm & ! SpindleAlign) | (Nud1FLdSPB & Nud1L_dSPB & Cdc15lowL_Bud & Cdc15lowL_Cytoplasm & ! CDKlowL_dSPB) | (Tem1FLdSPB & Nud1L_dSPB & Cdc15lowL_Bud & Cdc15lowL_Cytoplasm & ! CDKlowL_dSPB) | (Cdc14FLdSPB & Nud1L_dSPB & Cdc15lowL_Bud & Cdc15lowL_Cytoplasm & ! CDKlowL_dSPB) | (Nud1L_dSPB & Cdc15lowL_Bud & SpindleAlign & Cdc14lowA_dSPB & ! CDKFLdSPB) | (Nud1L_dSPB & Cdc15lowL_Cytoplasm & Cdc14lowA_dSPB & ! SpindleAlign & ! CDKFLdSPB) 
Cdc15highL_dSPB, (Nud1L_dSPB & Tem1highA_dSPB & Cdc15lowL_dSPB) | (Nud1FLdSPB & Nud1L_dSPB & Cdc15lowL_dSPB) | (Tem1FLdSPB & Nud1L_dSPB & Cdc15lowL_dSPB) | (Cdc5FLdSPB & Nud1L_dSPB & Cdc15lowL_dSPB) | (Nud1L_dSPB & Tem1lowA_dSPB & Cdc15lowL_dSPB & Cdc5A_dSPB & ! CDKFLdSPB) | (Nud1L_dSPB & Cdc15lowL_dSPB & ! CDKlowA_Bud & SpindleAlign & Cdc5A_dSPB & ! CDKFLdSPB) | (Nud1L_dSPB & Cdc15lowL_dSPB & ! CDKlowA_Bud & SpindleAlign & Tem1lowA_dSPB & ! CDKFLdSPB) | (Nud1L_dSPB & Cdc15lowL_dSPB & ! CDKlowA_Cytoplasm & Cdc5A_dSPB & ! SpindleAlign & ! CDKFLdSPB) | (Nud1FLdSPB & Cdc15highL_dSPB) | (Cdc15FLdSPB & Cdc15highL_dSPB) | (Tem1FLdSPB & Cdc15highL_dSPB) | (Cdc14FLdSPB & Cdc15highL_dSPB) 
Lte1A_Cytoplasm, (Cla4A_Cytoplasm & Lte1L_Cytoplasm) 
Mob1A_Cytoplasm, Mob1L_Cytoplasm 
Elm1A_Cytoplasm, Elm1L_Cytoplasm 
Dbf2A_Cytoplasm, (Dbf2A_mSPB & Dbf2L_Cytoplasm) 
Kin4A_Cytoplasm, (! Lte1A_Cytoplasm & Elm1A_Cytoplasm & Kin4L_Cytoplasm) 
Cla4A_Cytoplasm, Cla4L_Cytoplasm 
Nud1A_Cytoplasm, Nud1L_Cytoplasm 
Spc72A_Cytoplasm, Spc72L_Cytoplasm 
PP2ARts1A_Cytoplasm, PP2ARts1L_Cytoplasm 
Amn1A_Cytoplasm, Amn1L_Cytoplasm 
Bmh1A_Cytoplasm, Bmh1L_Cytoplasm 
PolarityA_Cytoplasm, PolarityL_Cytoplasm 
Bfa1highA_Cytoplasm, (! Lte1A_Cytoplasm & ! Cdc5A_Cytoplasm & Bfa1lowA_Cytoplasm & Bfa1highL_Cytoplasm) | (! Lte1A_Cytoplasm & ! Cdc14lowA_Cytoplasm & CDKlowA_Cytoplasm & Bfa1lowA_Cytoplasm & Bfa1highL_Cytoplasm) 
Bfa1lowA_Cytoplasm, Bfa1lowL_Cytoplasm 
Tem1lowA_Cytoplasm, (! Bfa1highA_Cytoplasm & Tem1lowL_Cytoplasm) | (! Bub2highA_Cytoplasm & Tem1lowL_Cytoplasm) | (! Amn1A_Cytoplasm & Tem1lowL_Cytoplasm) 
Tem1highA_Cytoplasm, (! Bfa1lowA_Cytoplasm & Tem1lowA_Cytoplasm & Tem1highL_Cytoplasm) | (! Bub2lowA_Cytoplasm & Tem1lowA_Cytoplasm & Tem1highL_Cytoplasm) | (! Amn1A_Cytoplasm & Tem1lowA_Cytoplasm & Tem1highL_Cytoplasm) 
Cdc15lowA_Cytoplasm, Cdc15lowL_Cytoplasm 
Cdc15highA_Cytoplasm, (Cdc15lowA_Cytoplasm & Cdc15highL_Cytoplasm) 
Bub2lowA_Cytoplasm, Bub2lowL_Cytoplasm 
Bub2highA_Cytoplasm, (Bub2lowA_Cytoplasm & Bub2highL_Cytoplasm) 
Rsa1A_Cytoplasm, Rsa1L_Cytoplasm 
Hit1A_Cytoplasm, Hit1L_Cytoplasm 
APCCdc20A_Cytoplasm, APCCdc20L_Cytoplasm 
Pds1A_Cytoplasm, (! APCCdc20A_Cytoplasm & Pds1L_Cytoplasm) 
Esp1A_Cytoplasm, (! Pds1A_Cytoplasm & Esp1L_Cytoplasm) 
Slk19A_Cytoplasm, (Esp1A_Cytoplasm & Slk19L_Cytoplasm) 
Zds1A_Cytoplasm, (Esp1A_Cytoplasm & Slk19A_Cytoplasm & Zds1L_Cytoplasm) 
Cdc5A_Cytoplasm, (CDKlowA_Cytoplasm & Cdc5L_Cytoplasm) 
PP2ACdc55A_Cytoplasm, PP2ACdc55L_Cytoplasm 
CDKlowA_Cytoplasm, CDKlowL_Cytoplasm 
CDKhighA_Cytoplasm, CDKhighL_Cytoplasm 
Fob1A_Cytoplasm, (! Spo12A_Cytoplasm & Fob1L_Cytoplasm) 
Spo12A_Cytoplasm, Spo12L_Cytoplasm 
SACA_Cytoplasm, SACL_Cytoplasm 
Cdc14lowA_Cytoplasm, Cdc14lowL_Cytoplasm 
Cdc14highA_Cytoplasm, Cdc14highL_Cytoplasm 
Net1A_Cytoplasm, Net1L_Cytoplasm 
Lte1A_Bud, (Cla4A_Bud & Lte1L_Bud) 
Mob1A_Bud, Mob1L_Bud 
Elm1A_Bud, Elm1L_Bud 
Dbf2A_Bud, (Dbf2A_dSPB & Dbf2L_Bud) 
Kin4A_Bud, (! Lte1A_Bud & Elm1A_Bud & Kin4L_Bud) 
Cla4A_Bud, Cla4L_Bud 
Nud1A_Bud, Nud1L_Bud 
Spc72A_Bud, Spc72L_Bud 
PP2ARts1A_Bud, PP2ARts1L_Bud 
Amn1A_Bud, Amn1L_Bud 
Bmh1A_Bud, Bmh1L_Bud 
PolarityA_Bud, PolarityL_Bud 
Bfa1highA_Bud, (! Lte1A_Bud & ! Cdc5A_Bud & Bfa1lowA_Bud & Bfa1highL_Bud) | (! Lte1A_Bud & ! Cdc14lowA_Bud & CDKlowA_Bud & Bfa1lowA_Bud & Bfa1highL_Bud) 
Bfa1lowA_Bud, Bfa1lowL_Bud 
Tem1lowA_Bud, (! Bfa1highA_Bud & Tem1lowL_Bud) | (! Bub2highA_Bud & Tem1lowL_Bud) | (! Amn1A_Bud & Tem1lowL_Bud) 
Tem1highA_Bud, (! Bfa1lowA_Bud & Tem1lowA_Bud & Tem1highL_Bud) | (! Bub2lowA_Bud & Tem1lowA_Bud & Tem1highL_Bud) | (! Amn1A_Bud & Tem1lowA_Bud & Tem1highL_Bud) 
Cdc15lowA_Bud, Cdc15lowL_Bud 
Cdc15highA_Bud, (Cdc15lowA_Bud & Cdc15highL_Bud) 
Bub2lowA_Bud, Bub2lowL_Bud 
Bub2highA_Bud, (Bub2lowA_Bud & Bub2highL_Bud) 
Rsa1A_Bud, Rsa1L_Bud 
Hit1A_Bud, Hit1L_Bud 
APCCdc20A_Bud, APCCdc20L_Bud 
Pds1A_Bud, (! APCCdc20A_Bud & Pds1L_Bud) 
Esp1A_Bud, (! Pds1A_Bud & Esp1L_Bud) 
Slk19A_Bud, (Esp1A_Bud & Slk19L_Bud) 
Zds1A_Bud, (Esp1A_Bud & Slk19A_Bud & Zds1L_Bud) 
Cdc5A_Bud, (CDKlowA_Bud & Cdc5L_Bud) 
PP2ACdc55A_Bud, PP2ACdc55L_Bud 
CDKlowA_Bud, CDKlowL_Bud 
CDKhighA_Bud, CDKhighL_Bud 
Fob1A_Bud, (! Spo12A_Bud & Fob1L_Bud) 
Spo12A_Bud, Spo12L_Bud 
SACA_Bud, SACL_Bud 
Cdc14lowA_Bud, Cdc14lowL_Bud 
Cdc14highA_Bud, Cdc14highL_Bud 
Net1A_Bud, Net1L_Bud 
Lte1A_Nucleus, (Cla4A_Nucleus & Lte1L_Nucleus) 
Mob1A_Nucleus, Mob1L_Nucleus 
Elm1A_Nucleus, Elm1L_Nucleus 
